row_idx,top_features,top_abs_z
110611,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[10.5153289573932, 10.476657189464362, 3.15011211773767, 0.9999995745697359, 0.9999995745697359]"
110666,"['mean_charge', 'mean_payment', 'mean_allowed', 'total_services', 'distinct_hcpcs']","[10.78514626970975, 10.512079680198196, 10.490102256425793, 1.3295370444083268, 1.216341088984974]"
110671,"['distinct_hcpcs', 'total_beneficiaries', 'total_services', 'distinct_pos', 'mean_allowed']","[23.989303259177422, 7.169583381062296, 6.642978215361989, 1.9950045249592383, 1.117460265919921]"
110690,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[5.672192166686067, 5.227417098640872, 5.170133069373069, 1.2190859358658612, 0.9999995745697359]"
111056,"['mean_allowed', 'mean_payment', 'distinct_hcpcs', 'mean_charge', 'distinct_pos']","[3.665884561255387, 3.6260436322957115, 2.4255249210305907, 2.3412348389805877, 1.9950045249592383]"
111089,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.440831307773285, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111105,"['mean_charge', 'mean_allowed', 'mean_payment', 'distinct_hcpcs', 'distinct_pos']","[4.6964995724246466, 3.7178865619273678, 3.7160261022320404, 3.1308821563905336, 1.9950045249592383]"
111116,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[3.735474072413342, 1.9950045249592383, 1.906743345313215, 0.9999995745697359, 0.9999995745697359]"
111119,"['distinct_pos', 'distinct_hcpcs', 'mean_payment', 'mean_allowed', 't_hipaa_share']","[1.9950045249592383, 1.216341088984974, 1.1920786893750341, 1.1818080773472845, 0.9999995745697359]"
111141,"['mean_allowed', 'mean_payment', 't_hipaa_share', 't_billing_share', 't_lab_share']","[2.753552223544705, 2.7092919551366434, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111160,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 'allow_ratio']","[4.942948941713413, 4.897953378823091, 3.927845919766714, 1.9950045249592383, 1.0152772136344206]"
111177,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.0356504981831165, 1.216341088984974, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111201,"['distinct_hcpcs', 'allow_ratio', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.642361946447554, 1.2873092689581587, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111204,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.650015139818902, 3.274301068139208, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111205,"['mean_payment', 'mean_allowed', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.553250485303798, 4.53570414866182, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111207,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[6.556903013853114, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111248,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[7.060729610538788, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111281,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 'allow_ratio']","[8.687149607173179, 8.636966607109372, 6.839965108325539, 1.8209330050077823, 1.0276695148940338]"
111320,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[3.6347087530762074, 1.9950045249592383, 1.2115081982249427, 0.9999995745697359, 0.9999995745697359]"
111375,"['distinct_pos', 'mean_allowed', 'mean_payment', 'distinct_hcpcs', 't_hipaa_share']","[1.9950045249592383, 1.7803450620005146, 1.748033414924251, 1.0148104503107045, 0.9999995745697359]"
111385,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[2.022463643682052, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111421,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.347719181807498, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111425,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.332412795064803, 1.9950045249592383, 1.0042450130149365, 0.9999995745697359, 0.9999995745697359]"
111451,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[3.2316474757276685, 1.9950045249592383, 1.9583362096128862, 1.9573237081514547, 0.9999995745697359]"
111485,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[5.5743322013649435, 5.545943761209608, 2.580007247351813, 1.9950045249592383, 0.9999995745697359]"
111507,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[4.440831307773285, 1.9950045249592383, 1.0666691916890727, 0.9999995745697359, 0.9999995745697359]"
111528,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.0148104503107045, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111531,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[2.526290240367725, 1.9950045249592383, 1.6792051078827952, 0.9999995745697359, 0.9999995745697359]"
111554,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.137532656361123, 7.134348437606282, 2.0226969431898376, 0.9999995745697359, 0.9999995745697359]"
111577,"['distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111587,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[8.16914812324727, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111591,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[4.914538585900294, 4.841581046709821, 2.4277833998448273, 1.9950045249592383, 0.9999995745697359]"
111604,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[10.298233203080105, 10.246592218377309, 6.59126090569397, 0.9999995745697359, 0.9999995745697359]"
111627,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[15.334497059838846, 15.293240874335844, 9.746994319746497, 0.9999995745697359, 0.9999995745697359]"
111652,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[4.843892585121824, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111758,"['total_services', 'distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[3.9554076781591263, 3.2316474757276685, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
111835,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[8.672974719932943, 1.9950045249592383, 1.0905304366717286, 0.9999995745697359, 0.9999995745697359]"
111839,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[2.1232289630191863, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
111892,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[9.565302344330352, 9.560520603376292, 5.340192861637671, 1.5186370469963781, 0.9999995745697359]"
111933,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[2.8285861983791296, 1.9950045249592383, 1.263074712730976, 0.9999995745697359, 0.9999995745697359]"
111987,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[6.31602949688309, 6.2979787059106105, 5.911151458622928, 1.1344521787934894, 0.9999995745697359]"
111992,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[5.650015139818902, 4.2431112588356825, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
112010,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[10.548867949227073, 10.4670717246335, 7.832706230763156, 0.9999995745697359, 0.9999995745697359]"
112094,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[5.2455555654797585, 5.164054875708629, 3.9097737038604623, 1.9950045249592383, 0.9999995745697359]"
112156,"['distinct_hcpcs', 'mean_payment', 'mean_allowed', 'distinct_pos', 'mean_charge']","[2.2239942823563212, 2.081385913262138, 2.0783061636614453, 1.9950045249592383, 1.6724339034894542]"
112165,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[3.3491504354587023, 3.342327587336166, 1.7078227845200233, 0.9999995745697359, 0.9999995745697359]"
112166,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[8.39588778595282, 8.307104292428814, 4.797075619862631, 4.54159662711042, 0.9999995745697359]"
112305,"['distinct_hcpcs', 'distinct_pos', 'mean_payment', 'mean_allowed', 't_hipaa_share']","[3.5339434337390725, 1.9950045249592383, 1.1810626666041286, 1.1250691830365538, 0.9999995745697359]"
112313,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[7.126586250485282, 4.62304751683517, 4.561865308661171, 1.3872894931243214, 0.9999995745697359]"
112420,"['mean_payment', 'mean_allowed', 'distinct_pos', 'allow_ratio', 't_hipaa_share']","[6.128488097103209, 6.094512640129601, 1.9950045249592383, 1.319752741708572, 0.9999995745697359]"
112483,"['mean_allowed', 'mean_payment', 'allow_ratio', 'mean_charge', 't_hipaa_share']","[7.417892600363023, 7.39806527935398, 1.1385632978138567, 1.1180285494907611, 0.9999995745697359]"
112502,"['total_services', 'total_beneficiaries', 'distinct_hcpcs', 'allow_ratio', 'mean_allowed']","[30.868207074475823, 16.23897178748866, 11.897464938721255, 1.2283450779523604, 1.0947556437606498]"
112567,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.332412795064803, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
112568,"['mean_charge', 'mean_allowed', 'mean_payment', 'distinct_hcpcs', 'allow_ratio']","[9.769199685402459, 9.201698325467211, 9.18835126887061, 2.3247596016934557, 1.2263926678812949]"
112580,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.650015139818902, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
112593,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.54159662711042, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
112627,"['mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.493656468667881, 3.464855244402552, 1.3065802233501238, 0.9999995745697359, 0.9999995745697359]"
112628,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[2.62705555970486, 1.9950045249592383, 1.2446599902598632, 0.9999995745697359, 0.9999995745697359]"
112638,"['total_beneficiaries', 'total_services', 'distinct_hcpcs', 'distinct_pos', 't_hipaa_share']","[9.97507402327835, 8.510749649450718, 5.045423223796093, 1.9950045249592383, 0.9999995745697359]"
112670,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[5.045423223796093, 1.9950045249592383, 1.0240008158215257, 0.9999995745697359, 0.9999995745697359]"
112698,"['mean_charge', 'distinct_pos', 'mean_allowed', 'mean_payment', 'allow_ratio']","[2.087539385081241, 1.9950045249592383, 1.8078991499968913, 1.762450686770722, 1.158052478506274]"
112711,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[5.650015139818902, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
112747,"['distinct_hcpcs', 'total_services', 'total_beneficiaries', 'mean_allowed', 'mean_payment']","[11.897464938721255, 10.232896611583977, 3.5494190925400586, 1.111291812546479, 1.0209389175712704]"
112790,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.153841736504575, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
112836,"['distinct_hcpcs', 'mean_charge', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[2.8285861983791296, 1.6895748898847494, 1.2622730451455322, 0.9999995745697359, 0.9999995745697359]"
112843,"['distinct_hcpcs', 'total_services', 'total_beneficiaries', 'allow_ratio', 'mean_allowed']","[3.6347087530762074, 2.609598377561948, 2.6017965108587475, 1.2107890467772657, 1.0337637713173369]"
112855,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.7507804591560365, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
112872,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.464585312735501, 8.458648116345506, 4.061175435598322, 0.9999995745697359, 0.9999995745697359]"
112880,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[5.463349078520053, 5.452216312349579, 4.100666402695778, 0.9999995745697359, 0.9999995745697359]"
112888,"['mean_allowed', 'mean_payment', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.3149947879823833, 3.2604059225652815, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
112974,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[2.966548183011422, 2.9353537265735756, 1.8453055056145977, 0.9999995745697359, 0.9999995745697359]"
113000,"['mean_allowed', 'mean_payment', 'distinct_pos', 'mean_charge', 'distinct_hcpcs']","[2.7089359065168765, 2.647447246769856, 1.9950045249592383, 1.8158865125601433, 1.3171064083221087]"
113049,"['distinct_pos', 'total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share']","[1.9950045249592383, 1.5785591247217117, 1.0148104503107045, 0.9999995745697359, 0.9999995745697359]"
113059,"['total_services', 'distinct_hcpcs', 'total_beneficiaries', 'allow_ratio', 't_hipaa_share']","[16.87098073546687, 12.19976089673266, 1.375291326502446, 1.0665772150254258, 0.9999995745697359]"
113110,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[7.262260249213058, 4.482370361287228, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
113119,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[10.391300265943967, 3.030116837053399, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
113207,"['distinct_hcpcs', 'allow_ratio', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.045423223796093, 1.533568589548658, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
113213,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[9.953994847461972, 7.957660017318537, 7.637225644850288, 1.3303181337786176, 0.9999995745697359]"
113216,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'allow_ratio', 'mean_payment']","[4.54159662711042, 1.9950045249592383, 1.094534450695892, 1.0641475903468953, 1.030733918047089]"
113226,"['distinct_pos', 'mean_allowed', 'mean_payment', 'distinct_hcpcs', 't_hipaa_share']","[1.9950045249592383, 1.9864732002841414, 1.9623317902262984, 1.1155757696478392, 0.9999995745697359]"
113250,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.153841736504575, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
113256,"['mean_charge', 'mean_payment', 'mean_allowed', 'distinct_hcpcs', 'allow_ratio']","[7.604384000515973, 6.938090987295153, 6.88183229787437, 2.62705555970486, 1.2378663196600745]"
113273,"['distinct_hcpcs', 'allow_ratio', 'mean_charge', 'total_services', 't_hipaa_share']","[3.836239391750477, 1.5475907085396075, 1.5263412056091294, 1.2233878108535774, 0.9999995745697359]"
113285,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 'distinct_pos']","[2.9521001372397153, 2.937025910260911, 2.4112255048412736, 2.1232289630191863, 1.9950045249592383]"
113333,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.347719181807498, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
113399,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.422847682973369, 7.336586883586406, 3.0657868946176987, 0.9999995745697359, 0.9999995745697359]"
113432,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.130943558498366, 8.101818557961021, 3.793913139132259, 0.9999995745697359, 0.9999995745697359]"
113449,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[2.7278208790419947, 1.9950045249592383, 1.37936686941042, 1.3436277309517628, 0.9999995745697359]"
113459,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.383651053088323, 8.340614932320136, 1.5272236755825461, 0.9999995745697359, 0.9999995745697359]"
113554,"['mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.609513437066401, 3.6030213260960795, 2.3983477212191917, 0.9999995745697359, 0.9999995745697359]"
113592,"['distinct_hcpcs', 'mean_allowed', 'mean_payment', 'distinct_pos', 't_hipaa_share']","[2.526290240367725, 2.1309927937674638, 2.1087057467003505, 1.9950045249592383, 0.9999995745697359]"
113598,"['mean_allowed', 'mean_payment', 'distinct_hcpcs', 'mean_charge', 't_hipaa_share']","[3.8355053869795186, 3.835163427979437, 2.4255249210305907, 1.0096510836013979, 0.9999995745697359]"
113625,"['distinct_hcpcs', 'distinct_pos', 'total_services', 'allow_ratio', 't_hipaa_share']","[4.037770030424746, 1.9950045249592383, 1.176028107946548, 1.1056645710803963, 0.9999995745697359]"
113669,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[11.430351637285652, 11.376342432274395, 10.823515959318629, 1.162006033767338, 0.9999995745697359]"
113684,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.131276178824276, 8.10214941592639, 5.898715019654805, 0.9999995745697359, 0.9999995745697359]"
113769,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.598418416715521, 7.567284429115493, 4.749611278022272, 0.9999995745697359, 0.9999995745697359]"
113807,"['mean_allowed', 'mean_payment', 'total_services', 'allow_ratio', 't_hipaa_share']","[4.235166086496247, 4.1793130418389035, 2.6030368097848844, 1.378039115297514, 0.9999995745697359]"
113847,"['mean_allowed', 'mean_payment', 'total_services', 't_hipaa_share', 't_billing_share']","[3.8546141360671227, 3.8422560096336276, 1.9727558921026216, 0.9999995745697359, 0.9999995745697359]"
113858,"['distinct_hcpcs', 'total_beneficiaries', 'total_services', 'allow_ratio', 't_hipaa_share']","[42.02629542052454, 4.258427511442525, 3.4819958546309286, 1.098753426788213, 0.9999995745697359]"
113897,"['distinct_hcpcs', 'allow_ratio', 'mean_allowed', 'mean_payment', 'total_beneficiaries']","[8.773740039270079, 1.1937023813974748, 1.1771177991299686, 1.1036596897860045, 1.032746738560838]"
113920,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.652649532703743, 1.4178717276592434, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
113933,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.2316474757276685, 1.0478923307517198, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
113965,"['distinct_hcpcs', 'total_services', 'distinct_pos', 'allow_ratio', 't_hipaa_share']","[3.836239391750477, 2.356078448369124, 1.9950045249592383, 1.0276412295217328, 0.9999995745697359]"
113971,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[11.195840868575605, 11.16947630652333, 4.707163163537249, 0.9999995745697359, 0.9999995745697359]"
114002,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[4.843892585121824, 1.9950045249592383, 1.4877243081914118, 0.9999995745697359, 0.9999995745697359]"
114019,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.74312726578469, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114032,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.239300669099015, 1.46746225739958, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114038,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.6347087530762074, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114058,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[5.5492498204817675, 1.9950045249592383, 1.3362329913696527, 0.9999995745697359, 0.9999995745697359]"
114117,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.8425803111268, 7.81088283905489, 5.855750735175271, 0.9999995745697359, 0.9999995745697359]"
114204,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[3.1308821563905336, 1.9950045249592383, 1.151289939109636, 0.9999995745697359, 0.9999995745697359]"
114350,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[5.510577535269081, 5.503603061821136, 2.597680778432285, 1.9950045249592383, 0.9999995745697359]"
114355,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.684857829936194, 6.637642373019321, 3.393502947875048, 0.9999995745697359, 0.9999995745697359]"
114413,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[7.161494929875923, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114571,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.9370047110876114, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114580,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[4.595658891862124, 4.453731678211954, 1.0057380085321224, 0.9999995745697359, 0.9999995745697359]"
114626,"['total_services', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[2.680928969202926, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114666,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[5.246928550248841, 5.11847237404612, 3.198358390996457, 0.9999995745697359, 0.9999995745697359]"
114671,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.231628515225822, 2.7278208790419947, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114684,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.3171064083221087, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114696,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[3.836239391750477, 1.9950045249592383, 1.6395951356660738, 1.6339007705644342, 0.9999995745697359]"
114781,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[2.526290240367725, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114792,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.340065988436151, 2.876585395458502, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
114794,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[9.599652583713896, 9.589484833307447, 7.704692728707585, 1.0408052978125246, 0.9999995745697359]"
114838,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[11.192107703361312, 1.9950045249592383, 1.037631560870187, 0.9999995745697359, 0.9999995745697359]"
114885,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[9.189460928077246, 9.156191699516754, 4.240760398581047, 0.9999995745697359, 0.9999995745697359]"
114899,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[9.156745596181562, 6.136338276542872, 6.09976741024245, 1.386108531779688, 0.9999995745697359]"
114909,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.997212529392311, 6.919943262287881, 2.4758298428193775, 0.9999995745697359, 0.9999995745697359]"
114964,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[5.7507804591560365, 2.84213716462892, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
115075,"['mean_charge', 'mean_allowed', 'mean_payment', 'distinct_pos', 'allow_ratio']","[4.700888670733594, 4.552602150882731, 4.533119438017313, 1.9950045249592383, 1.176208372560636]"
115370,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.341847479397654, 8.276270660704855, 2.769682316857587, 0.9999995745697359, 0.9999995745697359]"
115445,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[6.373431289610121, 6.342059735951242, 4.704093517067382, 1.9950045249592383, 0.9999995745697359]"
115490,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[6.25460705584171, 1.9950045249592383, 1.0351166707412296, 0.9999995745697359, 0.9999995745697359]"
115498,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[2.8285861983791296, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
115529,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[6.4198367555647895, 4.998981112454619, 4.925875033950282, 1.30802667491463, 0.9999995745697359]"
115546,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[4.642361946447554, 2.211909162815827, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
115553,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[5.650015139818902, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
115612,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 'allow_ratio']","[5.072485447528175, 5.068489728682183, 4.442171974346357, 1.9950045249592383, 1.07858567950572]"
115614,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[8.543417491210661, 8.498637162081343, 1.3951308542517034, 1.0833459340242297, 0.9999995745697359]"
115780,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[4.458399218394138, 4.417883385671267, 3.935235314560339, 1.0764161976596858, 0.9999995745697359]"
